ticker,company_name,year
RAJVIR,Rajvir Industries Limited,2024
RAMSARUP,Ramsarup Industries Limited,2019
RCOM,Reliance Communications Limited,2020
RHFL,Reliance Home Finance Limited,2019
RKDL,Ravi Kumar Distilleries Limited,2024
RMCL,Radha Madhav Corporation Limited,2020
ROHITFERRO,Rohit Ferro-Tech Limited,2019
ROLTA,Rolta India Limited,2020
SAHAJ,Sahaj Fashions Limited,2023
SANCO,Sanco Industries Limited,2021
SANGHVIFOR,Sanghvi Forging and Engineering Limited,2019
SANWARIA,Sanwaria Consumer Limited,2019
SATHAISPAT,Sathavahana Ispat Limited,2021
SECURCRED,SecUR Credentials Limited,2019
SETUINFRA,Setubandhan Infrastructure Limited,2019
SEYAIND,Seya Industries Limited,2019
SHARONBIO,Sharon Bio-Medicine Limited,2019
SHIRPUR-G,Shirpur Gold Refinery Limited,2020
SILKY,Silky Overseas Limited,2024
SIMBHALS,Simbhaoli Sugars Limited,2020
SITINET,Siti Networks Limited,2023
SKIL,SKIL Infrastructure Limited,2020
SKSTEXTILE,SKS Textiles Limited,2020
SMPL,Splendid Metal Products Limited,2020
SONISOYA,Soni Soya Products Limited,2019
SPTL,Sintex Plastics Technology Limited,2021
SREINFRA,SREI Infrastructure Finance Limited,2020
SRIRAM,Shri Ram Switchgears Limited,2019
SRPL,Shree Ram Proteins Limited,2023
SSINFRA,S.S. Infrastructure Development Consultants Limited,2020
STINDIA,STI India Limited,2019
SUBEXLTD,Subex Limited,2023
SUJANAUNI,Sujana Universal Industries Limited,2019
SUULD,Suumaya Industries Limited,2021
SYNCOM,Syncom Healthcare Limited,2019
TALWALKARS,Talwalkars Better Value Fitness Limited,2019
TALWGYM,Talwalkars Healthclubs Limited,2019
TARAPUR,Tarapur Transformers Limited,2021
TCIFINANCE,Tci Finance Limited,2020
TECHIN,Techindia Nirman Limited,2021
TECHNOFAB,Technofab Engineering Limited,2019
THIRUSUGAR,Thiru Arooran Sugars Limited,2019
UNIPLY,Uniply Industries Limited,2019
UNITY,Unity Infraprojects Limited,2019
USASEEDS,Upsurge Seeds Of Agriculture Limited,2025
VALECHAENG,Valecha Engineering Limited,2025
VIDEOIND,Videocon Industries Limited,2019
VIKASLIFE,Vikas Lifecare Limited,2025
VISESHINFO,Visesh Infotecnics Limited,2021
VISHNUINFR,Vishnusurya Projects and Infra Limited,2025
VIVIMEDLAB,Vivimed Labs Limited,2020
WINSOME,Winsome Yarns Limited,2023
ZENITHSTL,Zenith Steel Pipes & Industries Limited,2021
ZICOM,Zicom Electronic Security Systems Limited,2019
ABGSHIP,ABG Shipyard,2015
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,2025
ALOKINDS,Alok Industries Ltd,2025
AMTEKAUTO,Amtek Auto,2015
ANSALAPI,ANSAL PROP & INFRA LTD,2024
ARCOTECH,"ARCOTECH.NS,0P00012PYT,0",2025
ARSSINFRA,ARSS Infrastructure Projects,2025
ATLANTA,Atlanta Limited,2017
BALLARPUR,"BALLARPUR.NS,0P0000C2S8,0",2025
BCG,Brightcom Group Limited,2022
BGRENERGY,BGR ENERGY SYSTEMS LTD,2025
BOMBAYRAYON,Bombay Rayon,2016
BPL,BPL LTD,2025
BURNPUR,BURNPUR CEMENT LTD.,2025
BYJUS,Think & Learn Pvt Ltd (Byju's),2022
CANDC,"CANDC.NS,0P0000BSSR,0",2025
CASTEX,Castex Technologies,2016
CCCL,CONS. CONST. CONSORT LTD,2025
CELESTIAL,Celestial Biolabs,2013
CGPOWER,CG POWER AND IND SOL LTD,2025
COFFEEDAY,Coffee Day Enterprises Limited,2019
COX&KINGS,Cox & Kings,2016
DBREALTY,VALOR ESTATE LIMITED,2025
DCHL,Deccan Chronicle,2012
DQE,"DQE.NS,0P0000TIZW,0",2023
EASTSILK,EASTERN SILK INDUSTRIES L,2025
EDUCOMP,EDUCOMP SOLUTIONS LTD,2025
EMCO,Emco Limited,2016
ERAENVIRO,Era Infra Engineering,2016
EROSMEDIA,Eros International Media Limited,2019
FCONSUMER,FUTURE CONSUMER LIMITED,2025
FLFL,FUT LIFESTYLE FASH LTD,2022
FRETAIL,Future Retail,2016
GAMMONIND,Gammon India,2016
GAYAPROJ,GAYATRI PROJECTS LTD,2025
GEODESIC,Geodesic Limited,2013
GITANJALI,Gitanjali Gems,2016
GTL,GTL LTD,2025
GTLINFRA,GTL INFRA.LTD,2025
GVKPIL,GVK POW. & INFRA LTD.,2025
HANUNG,Hanung Toys,2014
HCC,HINDUSTAN CONSTRUCTION CO,2025
HDIL,Housing Development & Infra,2025
IL&FSENGG,IL&FS ENG AND CONS CO LTD,2025
IL&FSTRANS,IL&FS Trans,2018
IMAGICAA,IMAGICAAWORLD ENT LTD,2025
IVRCLINFRA,"IVRCLINFRA.NS,0P0000BYFY,0",2025
JBFIND,"JBFIND.NS,0P0000BJLZ,0",2025
JETAIRWAYS,Jet Airways India,2023
JMTAUTO,JMT Auto,2016
